OBJECTID,JCODE,SIKUCHOSON,買い物,コンビニ,薬局,ドラッグストア,スポーツ,カラオケ,図書館,公民館,映画,病院,市役所,警察,銀行,郵便局,美容院,飲食店,喫茶店,公園,神社,バス,駅,,買い物施設,趣味・娯楽,医療,暮らし,交通,,総合平均,総合合計
25,11218,深谷市,3.166725596,5.962034166,2.881522317,0.52257847,0.46028641,0.110925662,0.617155115,1.140238841,3.182187389,2.650133396,0.270650499,1.314581473,1.702946907,2.474677797,4.386529422,3.668515093,0.859570013,2.423509164,1.143367045,10.71154685,0.669836575,,4.00342736,0.5702369,2.916160392,2.027149713,5.690691714,,3.041533216,15.20766608
26,11219,上尾市,5.632821664,9.570085108,4.69735394,1.200768126,0.833156227,0.044798461,0.86784019,1.558592891,5.657685025,4.149485166,0.38783208,2.015392777,2.311121503,3.681498941,6.330243037,5.017197788,1.814439513,4.656236146,1.090313487,11.9905662,0.812658442,,6.633420237,0.901031179,4.903585095,3.033808363,6.40161232,,4.374691439,21.8734572
27,11221,草加市,7.856398552,10.90162985,5.978308524,1.018884144,1.251318138,0,0.869876275,2.569421729,6.042813444,4.294715587,0.48715332,2.50915618,2.195740117,4.732618503,6.938065698,6.534425824,3.399250614,6.160208344,1.127469037,10.84321464,1.386361758,,8.245445641,1.141900057,5.168764515,3.787120848,6.114788198,,4.891603852,24.45801926
28,11222,越谷市,6.751833972,9.65851003,5.03494436,1.441077557,1.197960263,0.001673318,0.670583346,1.757966338,5.511315583,3.778120025,0.174779956,3.016724973,3.085779352,4.965140588,5.217873516,6.362914543,2.656601249,3.330293378,0.982449311,9.774028932,1.443054923,,7.148429454,1.013852164,4.644717804,3.310284096,5.608541928,,4.345165089,21.72582545
29,11223,蕨市,10.77098995,12.00854166,6.20791506,2.018429545,1.954116499,0,4.004322874,4.426620927,9.054423863,6.945382596,1.563446787,5.672620367,2.592146718,7.847882926,8.643848809,8.725125662,7.273224816,6.549831949,3.040823201,12.09109112,0.903009804,,9.662482223,2.480697969,7.99990323,5.767661248,6.497050462,,6.481559026,32.40779513
30,11224,戸田市,8.358452146,11.22020384,7.264253669,1.274953102,1.052438934,0,2.486142216,2.616324134,7.84121452,4.700823876,0.637329245,4.205333126,2.990156091,6.745057578,6.726006168,7.147795541,3.265435912,6.369760675,2.202867524,12.03544021,1.078698644,,8.947636552,1.485971677,6.271019198,4.476637984,6.557069425,,5.547666967,27.73833484
31,11225,入間市,5.188252982,9.010941079,3.469070391,1.012888086,0.701246506,0.177532037,1.301025917,2.191963463,4.751555963,3.177036506,0.365032475,1.8277023,0.603299649,3.752707435,5.847131159,5.38803628,1.712397797,3.638833007,1.279479769,11.2136588,1.385569395,,5.889421484,1.076931202,3.964296235,2.712735541,6.2996141,,3.988599712,19.94299856
32,11227,朝霞市,8.193041522,10.5002207,6.37457568,0.977119588,1.3436423,0,1.750822522,3.504135083,5.994595056,5.797849395,0.880121716,2.20235653,3.1460682,4.242275024,5.567393086,6.76985903,2.983560814,4.594725859,1.594621328,11.98181697,1.609466615,,8.355945967,1.515143898,5.896222225,3.553442399,6.795641794,,5.223279257,26.11639628
33,11228,志木市,7.498745098,10.77831212,3.242384285,1.222174193,0.660645023,0,2.589844371,3.538837726,4.570653034,5.254527705,0.282828494,2.538161309,2.869605945,5.905277842,4.386972994,6.515413724,1.289707464,5.146131246,1.605299087,11.010169,1.373719649,,7.173147169,1.602300263,4.912590369,3.393266456,6.191944326,,4.654649717,23.27324858
34,11229,和光市,6.216885268,8.210940621,0.596756166,1.355122646,0.490306846,0,1.788085054,3.342215638,5.017657429,3.278750449,0.414758078,2.487552786,1.225615416,4.48621992,3.846026868,3.656469526,1.368123207,3.358221068,0.906523057,11.49710271,0.813139872,,5.008194018,1.395146037,4.148203939,2.416612214,6.155121291,,3.8246555,19.1232775
